37,,,,0,575929,False,0,0,0,2.03,2.07,5.03,6,93.1,2278,Four-Seam Fastball
38,,,,0,575929,False,0,1,0,2.3354,2.8612,5.4715,6,92.3,2151,Sinker
39,,,,0,575929,False,0,2,0,2.3165,2.5198,5.3507,7,85.0,1623,Splitter
40,,,,0,575929,False,0,3,0,2.0215,2.143,5.082,11,94.0,2379,Four-Seam Fastball
41,,,,0,575929,False,1,3,0,1.9821,3.0023,5.2926,4,95.1,2306,Four-Seam Fastball
42,,,,0,575929,False,1,4,0,1.8956,2.9653,5.4341,2,94.2,2331,Four-Seam Fastball
43,,,,0,571448,False,0,0,1,2.09,2.05,4.94,5,92.8,2217,Sinker
44,,,,0,571448,False,0,1,1,1.9752,2.9906,5.4542,4,93.5,2196,Sinker
45,,,,0,571448,False,0,2,1,1.7315,2.6959,5.4811,14,83.4,2530,Sweeper
46,,,,0,571448,False,1,2,1,2.5091,2.1181,5.146,12,94.0,2306,Four-Seam Fastball
47,,,,0,571448,False,1,3,1,2.4021,2.7511,5.297,6,94.8,2341,Four-Seam Fastball
48,,,,0,571448,False,1,4,1,2.4823,2.867,5.3279,14,81.8,2546,Sweeper
49,,,,0,669357,True,0,0,2,1.91,1.96,5.07,12,94.0,2420,Four-Seam Fastball
50,,,,0,669357,True,1,0,2,2.04,3.1328,5.4835,14,80.8,2710,Curveball
51,,,,0,669357,True,1,1,2,2.9024,1.5148,4.9049,1,93.9,2450,Four-Seam Fastball
52,,,,0,669357,True,2,1,2,2.0636,2.6205,5.1063,5,94.1,2484,Four-Seam Fastball
53,,,,-1,671056,False,0,0,2,1.97,2.0,5.03,13,93.5,2284,Sinker
54,,,,-1,671056,False,0,1,2,0.6352,2.0264,5.4046,13,86.2,1590,Splitter
55,,,,-1,671056,False,1,1,2,1.3544,1.2127,5.0233,11,93.5,2259,Sinker
56,,,,-1,676475,True,0,0,0,1.96,2.07,4.92,12,89.0,2342,Cutter
57,,,,-1,676475,True,0,1,0,2.8612,3.298,5.1045,2,92.5,2273,Four-Seam Fastball
58,676475,,,-1,691026,False,0,0,0,2.03,2.04,5.03,14,81.6,2482,Sweeper
59,676475,,,-1,691026,False,1,0,0,3.0734,1.8278,4.7468,7,93.7,2438,Four-Seam Fastball
60,676475,,,-1,691026,False,1,1,0,2.1654,2.1859,5.143,3,81.2,2602,Sweeper
61,676475,,,-1,691026,False,2,1,0,2.4635,2.7772,4.9583,6,81.6,2576,Sweeper
62,,691026,676475,-1,687363,True,0,0,0,2.08,1.96,5.07,1,90.2,2513,Cutter
63,,691026,676475,-1,687363,True,1,0,0,1.6776,3.6033,5.1739,14,86.4,1503,Splitter
64,,691026,676475,-1,687363,True,2,0,0,2.7784,2.1887,5.1374,11,94.3,2360,Four-Seam Fastball
65,,691026,676475,-1,687363,True,3,0,0,1.8991,2.8701,5.1592,5,94.4,2338,Four-Seam Fastball
66,,691026,676475,-1,687363,True,3,1,0,1.8743,2.8218,5.2482,5,89.6,2407,Cutter
67,,,691026,-2,680977,True,0,0,1,1.97,1.97,4.98,14,80.4,2610,Curveball
68,,,691026,-2,680977,True,1,0,1,2.3318,1.777,4.6874,7,86.4,1509,Splitter
69,,,691026,-2,680977,True,1,1,1,1.8215,1.9177,4.9586,3,93.2,2479,Four-Seam Fastball
70,,,691026,-2,680977,True,1,2,1,2.1321,2.51,5.2229,13,86.3,1610,Splitter
71,,,691026,-2,680977,True,2,2,1,1.5655,2.4026,5.0551,7,85.5,1463,Splitter
72,,,,-3,502671,False,0,0,2,1.94,2.07,5.1,11,94.5,2399,Four-Seam Fastball
73,,,,-3,502671,False,0,1,2,1.7325,3.8277,5.4424,11,92.8,2115,Sinker
74,,,,-3,502671,False,1,1,2,2.04,3.7688,5.3669,7,79.9,2663,Curveball
75,,,,-3,502671,False,1,2,2,1.4681,2.8745,5.0977,14,81.3,2681,Sweeper
76,,,,-3,575929,False,0,0,0,2.01,2.1,4.94,2,92.0,2271,Four-Seam Fastball
77,,,,-3,575929,False,0,1,0,2.3025,3.4361,5.2579,13,83.9,1543,Splitter
78,,,,-3,575929,False,0,2,0,1.6513,2.2329,5.0158,1,81.1,2512,Sweeper
79,,,,-3,575929,False,0,3,0,1.5894,2.7866,4.9468,13,84.3,1514,Splitter
80,,,,-3,571448,False,0,0,1,1.94,2.1,5.03,4,92.1,2235,Sinker
81,,,,-3,669357,True,0,0,2,2.0,1.91,5.06,12,93.1,2361,Four-Seam Fastball
82,,,,-3,669357,True,1,0,2,3.1302,3.0538,5.4715,2,89.9,2470,Cutter
83,,,,-3,669357,True,1,1,2,2.4714,3.5168,5.2982,13,80.1,2675,Curveball
84,,,,-3,669357,True,2,1,2,1.6253,2.85,4.9541,13,78.8,2647,Curveball
85,,,,-3,669357,True,2,2,2,1.6519,2.3617,4.8584,13,80.4,2698,Curveball
86,,,,-3,671056,False,0,0,0,1.98,1.96,5.08,11,91.9,2155,Sinker
87,,,,-3,671056,False,1,0,0,1.99,2.725,5.3821,13,92.0,2222,Sinker
88,,,,-3,671056,False,1,1,0,1.018,2.5651,5.286,2,92.9,2366,Four-Seam Fastball
89,,,,-3,671056,False,1,2,0,1.7221,3.0391,5.403,4,83.6,1567,Splitter
90,,,,-3,671056,False,1,3,0,1.5757,2.7737,5.2087,7,93.1,2093,Sinker
